dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
cora,node2vec_logreg,2,1HiKDA,0.6513333333333334,0.6480772648928494,0.6513333333333334,0.06733333333333329,0.06693915648236404,0.06733333333333329,0.906282994128734,0.9063832609801684,0.906282994128734,0.9063164164125453
cora,node2vec_logreg,2,Ange_Modifie_NCC,0.395,0.39198575221805587,0.395,0.3236666666666666,0.3230306691571576,0.3236666666666666,0.5496212863060869,0.5481990890152029,0.5496212863060869,0.5491472205424589
cora,node2vec_logreg,2,Ange_Original,0.7296666666666667,0.7264182680947994,0.7296666666666667,-0.01100000000000001,-0.011401846719585848,-0.01100000000000001,1.0153060291110145,1.0159312084568821,1.0153060291110145,1.0155144222263035
cora,node2vec_logreg,2,Zhou_Pei,0.4116666666666666,0.4092107064347586,0.4116666666666666,0.307,0.3058057149404549,0.307,0.5727978643965642,0.5722998537972718,0.5727978643965642,0.5726318608634667
cora,node2vec_logreg,2,original,0.7186666666666666,0.7150164213752136,0.7186666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cora,node2vec_logreg,5,1HiKDA,0.6463333333333333,0.6457630728498388,0.6463333333333333,0.07233333333333329,0.06925334852537464,0.07233333333333329,0.8993500586884107,0.9031307042604237,0.8993500586884107,0.9006102738790819
cora,node2vec_logreg,5,Ange_Modifie_NCC,0.283,0.28091146971903386,0.283,0.43566666666666665,0.4341049516561796,0.43566666666666665,0.39377845997245625,0.3928511056650028,0.39377845997245625,0.39346934186997173
cora,node2vec_logreg,5,Ange_Original,0.697,0.695477053575175,0.697,0.021666666666666685,0.01953936780003851,0.021666666666666685,0.9698809378991341,0.9726904952738019,0.9698809378991341,0.9708174570240233
cora,node2vec_logreg,5,Zhou_Pei,0.3113333333333333,0.3071375001194852,0.3113333333333333,0.4073333333333333,0.40787892125572833,0.4073333333333333,0.43328368023013564,0.4296236933537467,0.43328368023013564,0.43206368460467265
cora,node2vec_logreg,5,original,0.7186666666666666,0.7150164213752136,0.7186666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cora,node2vec_logreg,10,1HiKDA,0.6433333333333334,0.6451327102254917,0.6433333333333334,0.0753333333333333,0.06988371114972174,0.0753333333333333,0.8952348378393343,0.902305832897348,0.8952348378393343,0.8975918361920056
cora,node2vec_logreg,10,Ange_Modifie_NCC,0.269,0.2583924984076043,0.269,0.4496666666666666,0.4566239229676092,0.4496666666666666,0.37431764972617243,0.3613338357229671,0.37431764972617243,0.36998971172510403
cora,node2vec_logreg,10,Ange_Original,0.7096666666666667,0.7062112981727103,0.7096666666666667,0.009000000000000008,0.008805123202503151,0.009000000000000008,0.9874806876533135,0.9876833701654414,0.9874806876533135,0.9875482484906896
cora,node2vec_logreg,10,Zhou_Pei,0.28833333333333333,0.28704309192005767,0.28833333333333333,0.4303333333333333,0.4279733294551558,0.4303333333333333,0.40121806506472163,0.40146900837895316,0.40121806506472163,0.4013017128361321
cora,node2vec_logreg,10,original,0.7186666666666666,0.7150164213752136,0.7186666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cora,node2vec_logreg,50,1HiKDA,0.604,0.6083711190142013,0.604,0.11466666666666665,0.10664530236101222,0.11466666666666665,0.8404812220660881,0.8508553470501775,0.8404812220660881,0.8439392637274512
cora,node2vec_logreg,50,Ange_Modifie_NCC,0.307,0.3067081996862973,0.307,0.4116666666666666,0.4083082216889162,0.4116666666666666,0.4272192228018991,0.42901152550713423,0.4272192228018991,0.42781665703697747
cora,node2vec_logreg,50,Ange_Original,0.7063333333333333,0.7013765045115213,0.7063333333333333,0.012333333333333344,0.013639916863692073,0.012333333333333344,0.9827879642214218,0.9808995484590429,0.9827879642214218,0.9821584923006288
cora,node2vec_logreg,50,Zhou_Pei,0.2906666666666667,0.2973928600753785,0.2906666666666667,0.42799999999999994,0.41762356129983497,0.42799999999999994,0.40444744588548637,0.41595601207045774,0.40444744588548637,0.4082836346138102
cora,node2vec_logreg,50,original,0.7186666666666666,0.7150164213752136,0.7186666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
