dataset,model,method,k,seed,num_nodes,num_edges_original,num_edges_anonymized,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score,method_error
pubmed,node2vec_logreg,Ange_Original,10,42.0,19717.0,44324.0,44468.0,0.628,0.6173497742739708,0.628,0.042,0.0354818168345822,0.042,0.9373134328358208,0.9456493568665516,0.9373134328358208,0.9400920741793976,
pubmed,node2vec_logreg,Ange_Modifie_NCC,10,42.0,19717.0,44324.0,192098.0,0.383,0.3578023810592124,0.383,0.287,0.2950292100493406,0.287,0.5716417910447761,0.5480776143992041,0.5716417910447761,0.563787065496252,
pubmed,node2vec_logreg,Zhou_Pei,10,42.0,19717.0,44324.0,191335.0,0.396,0.3783783016692388,0.396,0.274,0.2744532894393142,0.274,0.591044776119403,0.5795955753714774,0.591044776119403,0.5872283758700946,
pubmed,node2vec_logreg,1HiKDA,10,42.0,19717.0,44324.0,45141.0,0.657,0.6337645352561639,0.657,0.013,0.0190670558523891,0.013,0.9805970149253732,0.9707933008878876,0.9805970149253732,0.9773291102462114,
pubmed,node2vec_logreg,original,10,123.0,19717.0,44324.0,44324.0,0.66,0.641820924845296,0.66,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,node2vec_logreg,Ange_Original,10,123.0,19717.0,44324.0,44468.0,0.64,0.6278553370558756,0.64,0.02,0.0139655877894203,0.02,0.9696969696969696,0.9782406785930412,0.9696969696969696,0.9725448726623268,
pubmed,node2vec_logreg,Ange_Modifie_NCC,10,123.0,19717.0,44324.0,192098.0,0.359,0.3300843504047461,0.359,0.301,0.3117365744405498,0.301,0.543939393939394,0.5142935320849961,0.543939393939394,0.534057439987928,
pubmed,node2vec_logreg,Zhou_Pei,10,123.0,19717.0,44324.0,191335.0,0.375,0.3657851522346219,0.375,0.285,0.2760357726106741,0.285,0.5681818181818181,0.5699177731277466,0.5681818181818181,0.568760469830461,
pubmed,node2vec_logreg,1HiKDA,10,123.0,19717.0,44324.0,45139.0,0.636,0.6223638520641706,0.636,0.024,0.0194570727811254,0.024,0.9636363636363636,0.9696845770713766,0.9636363636363636,0.965652434781368,
pubmed,node2vec_logreg,original,10,2024.0,19717.0,44324.0,44324.0,0.658,0.6406653228792912,0.658,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,node2vec_logreg,Ange_Original,10,2024.0,19717.0,44324.0,44468.0,0.619,0.6063731833566193,0.619,0.039,0.0342921395226719,0.039,0.9407294832826748,0.9464741756763804,0.9407294832826748,0.9426443807472432,
pubmed,node2vec_logreg,Ange_Modifie_NCC,10,2024.0,19717.0,44324.0,192098.0,0.351,0.3402252426043631,0.351,0.307,0.3004400802749281,0.307,0.533434650455927,0.5310498796396781,0.533434650455927,0.5326397268505106,
pubmed,node2vec_logreg,Zhou_Pei,10,2024.0,19717.0,44324.0,191335.0,0.376,0.3626121250725356,0.376,0.282,0.2780531978067556,0.282,0.5714285714285714,0.5659930577214275,0.5714285714285714,0.5696167335261901,
pubmed,node2vec_logreg,1HiKDA,10,2024.0,19717.0,44324.0,45108.0,0.637,0.6210835929027244,0.637,0.021,0.0195817299765668,0.021,0.9680851063829788,0.9694353209432934,0.9680851063829788,0.9685351779030836,
pubmed,node2vec_logreg,original,50,42.0,19717.0,44324.0,44324.0,0.67,0.652831591108553,0.67,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,node2vec_logreg,Ange_Original,50,42.0,19717.0,44324.0,44437.0,0.637,0.6236828031677107,0.637,0.033,0.0291487879408423,0.033,0.9507462686567164,0.9553502184363571,0.9507462686567164,0.9522809185832634,
pubmed,node2vec_logreg,Ange_Modifie_NCC,50,42.0,19717.0,44324.0,166201.0,0.378,0.3558171865532825,0.378,0.292,0.2970144045552705,0.292,0.5641791044776119,0.5450367160527271,0.5641791044776119,0.5577983083359837,
pubmed,node2vec_logreg,Zhou_Pei,50,42.0,19717.0,44324.0,179703.0,0.399,0.3709889293153239,0.399,0.271,0.2818426617932291,0.271,0.5955223880597015,0.5682766189138597,0.5955223880597015,0.5864404650110876,
pubmed,node2vec_logreg,1HiKDA,50,42.0,19717.0,44324.0,45139.0,0.661,0.6401791619686847,0.661,0.009,0.0126524291398683,0.009,0.9865671641791044,0.980619153067664,0.9865671641791044,0.9845844938086242,
pubmed,node2vec_logreg,original,50,123.0,19717.0,44324.0,44324.0,0.66,0.641820924845296,0.66,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
pubmed,node2vec_logreg,Ange_Original,50,123.0,19717.0,44324.0,44438.0,0.644,0.6334443732689573,0.644,0.016,0.0083765515763386,0.016,0.9757575757575756,0.9869487714531,0.9757575757575756,0.9794879743227504,
pubmed,node2vec_logreg,Ange_Modifie_NCC,50,123.0,19717.0,44324.0,166201.0,0.348,0.335490530998409,0.348,0.312,0.3063303938468869,0.312,0.5272727272727272,0.5227167236395034,0.5272727272727272,0.525754059394986,
pubmed,node2vec_logreg,Zhou_Pei,50,123.0,19717.0,44324.0,179703.0,0.368,0.3398033319727789,0.368,0.292,0.302017592872517,0.292,0.5575757575757575,0.5294363564956766,0.5575757575757575,0.5481959572157306,
pubmed,node2vec_logreg,1HiKDA,50,123.0,19717.0,44324.0,45105.0,0.648,0.6386047140120953,0.648,0.012,0.0032162108332006,0.012,0.9818181818181818,0.9949889280503345,0.9818181818181818,0.9862084305622326,
pubmed,node2vec_logreg,original,50,2024.0,19717.0,44324.0,44324.0,0.658,0.6406653228792912,0.658,0.0,0.0,0.0,1.0,1.0,1.0,1.0,
