dataset,model,k,method,accuracy,macro_f1,micro_f1,accuracy_loss,macro_f1_loss,micro_f1_loss,accuracy_utility_ratio,macro_f1_utility_ratio,micro_f1_utility_ratio,global_utility_score
citeseer,gat,2,1HiKDA,0.6286666666666667,0.5965750175063248,0.6286666666666667,0.041000000000000036,0.0398580239881751,0.041000000000000036,0.938834011766381,0.9372812068189443,0.938834011766381,0.9383164101172355
citeseer,gat,2,Ange_Modifie_NCC,0.413,0.38713721393470873,0.413,0.2566666666666667,0.24929582755979118,0.2566666666666667,0.6162820919050962,0.6075271297733155,0.6162820919050962,0.6133637711945026
citeseer,gat,2,Ange_Original,0.67,0.6339663245447268,0.67,-0.00033333333333333365,0.0024667169497731476,-0.00033333333333333365,1.0007641940388419,0.9962813357063686,1.0007641940388419,0.9992699079280173
citeseer,gat,2,Zhou_Pei,0.4343333333333333,0.4123952146941119,0.4343333333333333,0.23533333333333337,0.22403782680038797,0.23533333333333337,0.6480041648416832,0.6471830794765386,0.6480041648416832,0.6477304697199683
citeseer,gat,2,original,0.6696666666666667,0.6364330414945,0.6696666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,gat,5,1HiKDA,0.6183333333333333,0.5886191949814263,0.6183333333333333,0.05133333333333338,0.047813846513073556,0.05133333333333338,0.92384001676856,0.9252187458854287,0.92384001676856,0.9242995931408496
citeseer,gat,5,Ange_Modifie_NCC,0.369,0.34947480406086057,0.369,0.3006666666666667,0.2869582374336393,0.3006666666666667,0.5506772913414126,0.5487384810767978,0.5506772913414126,0.5500310212532077
citeseer,gat,5,Ange_Original,0.6623333333333333,0.6273572822193486,0.6623333333333333,0.00733333333333334,0.009075759275151326,0.00733333333333334,0.9891092644100233,0.9857003081488304,0.9891092644100233,0.9879729456562923
citeseer,gat,5,Zhou_Pei,0.35766666666666663,0.3368027897849087,0.35766666666666663,0.31200000000000006,0.29963025170959123,0.31200000000000006,0.5336141925399113,0.5285887314322357,0.5336141925399113,0.5319390388373528
citeseer,gat,5,original,0.6696666666666667,0.6364330414945,0.6696666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,gat,10,1HiKDA,0.6253333333333333,0.5946234747048672,0.6253333333333333,0.04433333333333337,0.04180956678963277,0.04433333333333337,0.9338815887532141,0.9343951613789315,0.9338815887532141,0.9340527796284533
citeseer,gat,10,Ange_Modifie_NCC,0.3423333333333333,0.3038302592581788,0.3423333333333333,0.3273333333333334,0.3326027822363211,0.3273333333333334,0.5110604086931957,0.4770618976460849,0.5110604086931957,0.49972757167749204
citeseer,gat,10,Ange_Original,0.6786666666666666,0.6414869065201402,0.6786666666666666,-0.009000000000000008,-0.005053865025640203,-0.009000000000000008,1.013701490327608,1.0082290046444609,1.013701490327608,1.0118773284332256
citeseer,gat,10,Zhou_Pei,0.32433333333333336,0.3059696725602201,0.32433333333333336,0.3453333333333333,0.33046336893427974,0.3453333333333333,0.4846455347012712,0.48093199490415345,0.4846455347012712,0.48340768810223195
citeseer,gat,10,original,0.6696666666666667,0.6364330414945,0.6696666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0
citeseer,gat,50,1HiKDA,0.5956666666666667,0.567228526753155,0.5956666666666667,0.07400000000000007,0.06920451474134486,0.07400000000000007,0.8899545011053324,0.8917029357140102,0.8899545011053324,0.8905373126415584
citeseer,gat,50,Ange_Modifie_NCC,0.35233333333333333,0.33281840828471565,0.35233333333333333,0.3173333333333334,0.30361463320978427,0.3173333333333334,0.5258141560628461,0.5224266251558519,0.5258141560628461,0.524684979093848
citeseer,gat,50,Ange_Original,0.6626666666666666,0.6296506379189163,0.6626666666666666,0.007000000000000006,0.006782403575583573,0.007000000000000006,0.9899761137170492,0.9897525840031666,0.9899761137170492,0.9899016038124216
citeseer,gat,50,Zhou_Pei,0.31433333333333335,0.29609187325025427,0.31433333333333335,0.35533333333333333,0.3403411682442456,0.35533333333333333,0.4692411552250146,0.4650707348773562,0.4692411552250146,0.4678510151091284
citeseer,gat,50,original,0.6696666666666667,0.6364330414945,0.6696666666666667,0.0,0.0,0.0,1.0,1.0,1.0,1.0
